Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
ЄВРОНЕКС,Voriconazole,"1 таблетка, вкрита плівковою оболонкою, містить 200 мг вориконазолу",B02A A02,МСН Лабораторіс Пвт. Лтд.,Індія,"МСН Хаус, Плот №. С-24, Індастріал Естет, Санатх Нагар, Хайдрабад-500 018, Телангана, Індія",МСН Лабораторіс Прайвіт Лімітед,Індія,"Дільниця № 42, промислова зона Анріч, Боларам, округ Сангаредді-502 325, штат Телангана, Індія",UA/17086/01/02,2,рік,,tranexamic acid,https://compendium.com.ua/dec/358697/
ЄВРОПЕНЕМ,Voriconazole,"1 таблетка, вкрита плівковою оболонкою, містить 50 мг вориконазолу",J01D H02,МСН Лабораторіс Пвт. Лтд.,Індія,"МСН Хаус, Плот №. С-24, Індастріал Естет, Санатх Нагар, Хайдрабад-500 018, Телангана, Індія",МСН Лабораторіс Прайвіт Лімітед,Індія,"Дільниця № 42, промислова зона Анріч, Боларам, округ Сангаредді-502 325, штат Телангана, Індія",UA/17085/01/01,2,рік,,Меропенем,https://compendium.com.ua/dec/275352/
ЄВРОФАСТ,Voriconazole,"1 таблетка, вкрита плівковою оболонкою, містить 50 мг вориконазолу",M01A E01,МСН Лабораторіс Пвт. Лтд.,Індія,"МСН Хаус, Плот №. С-24, Індастріал Естет, Санатх Нагар, Хайдрабад-500 018, Телангана, Індія",МСН Лабораторіс Прайвіт Лімітед,Індія,"Дільниця № 42, промислова зона Анріч, Боларам, округ Сангаредді-502 325, штат Телангана, Індія",UA/17086/01/01,2,рік,,Ібупрофен,https://compendium.com.ua/dec/264944/
ЄВРОФЕБ,Voriconazole,"1 таблетка, вкрита плівковою оболонкою, містить 50 мг вориконазолу",M04A A03,Органосин Лайф Саєнсиз Пвт. Лтд.,Індія,"Сі-88, Кірті Нагар, Нью Делі-110 015, Індія",Евертоджен Лайф Саєнсиз Лімітед,Індія,"Плот №: Ес-8, Ес-9, Ес-13/Пі та Ес-14/Пі Ті Ес Ай Ай Сі, Фарма Ес І Зет, Грін Індастріал Парк, Полепаллі (Ві), Єдчерла (Ем), Махабубнагар, Телангана, ІH - 509 301, Індія",UA/10647/01/02,2,рік,целюлоза мікрокристалічна,Фебуксостат,https://compendium.com.ua/dec/359161/
ЄВРОЦЕФТАЗ,Albendazole,5 мл суспензії містять 200 мг альбендазолу,J01D D63,Мілі Хелскере Лімітед,Велика Британія,"Фаірфакс Хаус 15, Фалвуд Плейс, Лондон, WC1V 6AY, Велика Британія",Гракуре Фармасьютікалс ЛТД,Індія,"E-1105, Промислова зона, ділянка III, Бхіваді, район Алвар, Раджастан, 301019, Індія",UA/6434/01/01,2,рік,,"Цефтріаксон, Тазобактам",https://compendium.com.ua/dec/263536/
ЄСОМ,Albendazole,1 таблетка для жування містить альбендазолу 400 мг,A02B C05,Мілі Хелскере Лімітед,Велика Британія,"Фаірфакс Хаус 15, Фалвуд Плейс, Лондон, WC1V 6AY, Велика Британія",Мепро Фармасьютикалс Пріват Лімітед,Індія,"Unit II, Q-Роад, Фазе ІV, GIDC, Вадхван, Сурендранагар, Гуджарат, 363 035, Індія",UA/6434/02/01,3,рік,,esomeprazole,https://compendium.com.ua/dec/342754/
ЖАНІН®,Albendazole,за рецептом,G03A A16,,М. БІОТЕК ЛТД,Велика Британія,1,БАФНА ФАРМАСЬЮТІКАЛЗ ЛІМІТЕД,Індія,,2 роки,2,"лактози моногідрат, крохмаль кукурудзяний, мальтодекстрин, магнію стеарат, сахароза, сироп глюкозний, кальцію карбонат, повідон К25, макрогол 35000, віск карнаубський, титану діоксид (Е171)","Етинілестрадіол, Дієногест",https://compendium.com.ua/dec/270027/
ЖАСТІНДА,Pazopanib,1 таблетка містить 200 мг пазопанібу (у формі пазопанібу гідрохлориду),G03A A16,Новартіс Фарма АГ,Швейцарія,"Ліхтштрассе, 35, 4056 Базель, Швейцарія",Глаксо Оперейшнс ЮК Лімітед (виробник нерозфасованої продукції),Велика Британія,"Прайорі Стріт, Веа, Хертфордшир, SG12 0DJ, Велика Британія",UA/12035/01/01,2,рік,"лактоза, моногідрат, крохмаль кукурудзяний, повідон, магнію стеарат, тальк","Етинілестрадіол, Дієногест",https://compendium.com.ua/dec/264147/
ЖЕНЬШЕНЬ,Pazopanib,1 таблетка містить 400 мг пазопанібу (у формі пазопанібу гідрохлориду),A13A,Новартіс Фарма АГ,Швейцарія,"Ліхтштрассе, 35, 4056 Базель, Швейцарія",Глаксо Оперейшнс ЮК Лімітед (виробник нерозфасованої продукції),Велика Британія,"Прайорі Стріт, Веа, Хертфордшир, SG12 0DJ, Велика Британія",UA/12035/01/02,2,рік,,Настойка женьшеню,https://compendium.com.ua/dec/270300/
ЖЕНЬШЕНЮ НАСТОЙКА,Velaglucerase alfa,1 флакон містить 400 ОД велаглюцерази альфа,A13A,Шайєр Фармасьютікалз Ірландія Лімітед,Ірландія,"Блок 2 та 3, Мізіен Плаза, 50-58 Беггот Стріт Лоуер, Дублін 2, Ірландія",Шайєр Фармасьютикалз Айленд Лтд,Ірландія,"Блок 2 та 3 Майзен Плаза, вул. Лоуер Беггот 50-58, Дублін 2, Д02 I754, Ірландія",UA/15706/01/01,3,рік,,Настойка женьшеню,https://compendium.com.ua/dec/273681/
ЖИВОКОСТ,Velaglucerase alfa,1 флакон містить 400 ОД велаглюцерази альфа,A16AB10,Шайєр Фармасьютікалз Ірландія Лімітед,Ірландія,"Блок 2 та 3, Мізіен Плаза, 50-58 Беггот Стріт Лоуер, Дублін 2, Ірландія",Шайєр Фармасьютікалз Ірландія Лімітед (випуск серії),Ірландія,"Блок 2/3 Мізіен Плаза, 50-58 Беггот Стріт Лоуер, Дублін 2, D02 Y754, Ірландія",UA/15706/01/01,3,рік,"парафін білий м’який, олія кукурудзяна рафінована, гліцерин, спен 80, олія ефірна соснова, метилпарагідроксибензоат (Е 218), вода очищена","Настоянка живокосту (1:5), Токоферолу ацетат",https://compendium.com.ua/dec/378404/
ЖИВОКОСТ АРТОЛІЯ,Denotivir*,1 г крему містить денотивіру 30 мг,M02A X10,"ТОВ ""БАУШ ХЕЛС""",Україна,"Україна, 01103, м. Київ, вул. Підвисоцького Професора, буд. 6-В",Фармзавод Єльфа А.Т.,Польща,"58-500 м. Єленя Гура, вул. Вінцентего Полa, 21, Польща",UA/11478/01/01,2 роки,2,"вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2.,  вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2.,  вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2.,  вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2","Настоянка живокосту, Токоферолу ацетат",https://compendium.com.ua/dec/357899/
ЖИВОКОСТУ МАЗЬ,Denotivir*,1 г крему містить денотивіру 30 мг,D03A X19**,"ТОВ ""БАУШ ХЕЛС""",Україна,"Україна, 01103, м. Київ, вул. Підвисоцького Професора, буд. 6-В",Фармзавод Єльфа А.Т.,Польща,"58-500 м. Єленя Гура, вул. Вінцентего Полa, 21, Польща",UA/11478/01/01,2 роки,2,"вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2, ніпагін, ароматизатор 482,056, вода очищена.,  вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2, ніпагін, ароматизатор 482,056, вода очищена.,  вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2, ніпагін, ароматизатор 482,056, вода очищена.,  вазелін, олія кукурудзяна рафінована, гліцерин, емульгатор т2, ніпагін, ароматизатор 482,056, вода очищена","Настоянка живокосту, Токоферолу ацетат",https://compendium.com.ua/dec/271219/
ЖИВОКОСТУ НАСТОЙКА,Medicinal charcoal,вугілля активоване 100 %,D03A X19**,"Публічне акціонерне товариство ""Науково-виробничий центр ""Борщагівський хіміко-фармацевтичний завод""",Україна,"Україна, 03134, м. Київ, вул. Миру, 17",Кебот Норіт Нідерленд Б.В.,Нідерланди,"Мр. Овінгканаал О.З. 3, 7891 ЕВ Клазінавен, Нідерланди",UA/11481/01/01,3,рік,спирт етиловий 55%,Настоянка живокосту (1:10),https://compendium.com.ua/dec/271780/
ЖОВЧ МЕДИЧНА КОНСЕРВОВАНА,Medicinal charcoal,"1 таблетка містить вугілля активованого 0,25 г",M02A X10,"ТОВ ""ВАЛАРТІН ФАРМА""",Україна,"Україна, 08135, Київська обл., Києво-Святошинський район, село Чайки, вулиця Грушевського, будинок 60","ТОВ ""ВАЛАРТІН ФАРМА""",Україна,"Україна, 08135, Київська обл., Києво-Святошинський район, село Чайки, вулиця Грушевського, будинок 60",UA/12759/01/01,3,рік,"антисептики, стабілізатори, ароматизатори",Жовч великої рогатої худоби або свиней консервована,https://compendium.com.ua/dec/263344/
ЖОВЧОГІННИЙ ЗБІР,Medicinal charcoal,1 таблетка містить вугілля активованого 250 мг,A05A X10**,"Публічне акціонерне товариство ""Науково-виробничий центр ""Борщагівський хіміко-фармацевтичний завод""",Україна,"Україна, 03134, м. Київ, вул. Миру, 17","Публічне акціонерне товариство ""Науково-виробничий центр ""Борщагівський хіміко-фармацевтичний завод""",Україна,"Україна, 03134, м. Київ, вул. Миру, 17",UA/3954/01/01,2,рік,,"Квітки цмину пісчаного, Листя трилистника водяного, Листя м'яти перцевої, Плоди коріандру",https://compendium.com.ua/dec/267190/
ЖОВЧОГІННИЙ ЗБІР № 2,Medicinal charcoal,100% вугілля активованого,A05A X10**,"ТОВ ""ВАЛАРТІН ФАРМА""",Україна,"Україна, 08135, Київська обл., Києво-Святошинський район, село Чайки, вулиця Грушевського, будинок 60",СІЛКАРБОН Актівколе ГмбХ,Німеччина,"Мюленвег 15, Д-57399 Кірххиндем-Сілберг, Німеччина",UA/11425/01/01,5,рік,,"Квітки цмину пісчаного, Трава деревію, Листя м'яти перцевої, Плоди коріандру",https://compendium.com.ua/dec/270828/
ЗАВЕДОС,Comb drug,"1 г мазі містить прополісу настойки (Tinctura Propolisi) (1 : 10) (екстрагент —етанол 80 %) 50 мг, карофілену (Carophylenum) 30 мг, софори японської настойки (Tinctura Sophorae japonicae) (1 : 2) (екстрагент — етанол 48 %) 30 мг, перстачу настойки (Tinctura Potentillae) (1 : 5) (екстрагент — етанол 70 %) 20 мг, деревію настойки (Tinctura Millefolii) (1 : 5) (екстрагент — етанол 70 %) 20 мг",L01D B06,"ТОВ ""Науково-виробнича фармацевтична компанія ""ЕЙМ""",Україна,"Україна, 61124, м. Харків, вул. Грозненська, 34, кв. 60","ТОВ ""Науково-виробнича фармацевтична компанія ""ЕЙМ"" (виробництво та контроль якості; випуск серії)",Україна,"Україна, 62495, Харківська обл., Харківський район, смт Васищеве, вулиця Промислова, 16-а (виробництво та контроль якості);",UA/7236/01/01,2,рік,"лактоза.,  целюлоза мікрокристалічна, гліцерилу пальмитостеарат",Ідарубіцин,https://compendium.com.ua/dec/269587/
ЗАВЕДОС®,Gabapentin,1 капсула містить габапентину 100 мг,L01D B06,Вьорваг Фарма ГмбХ і Ко. КГ,Німеччина,"71034, Бьоблінген, Кальверштрасе, 7, Німеччина",Каталент Джермені Шорндорф ГмбХ,Німеччина,"Штайнбайштрассе, 1 і 2, 73614, Шорндорф, Німеччина",UA/3989/01/01,3,рік,"лактоза.,  целюлоза мікрокристалічна, гліцерилу пальмитостеарат",Ідарубіцин,https://compendium.com.ua/dec/269587/
ЗАЛАЇН,Gabapentin,1 капсула містить габапентину 400 мг,D01A C14,Вьорваг Фарма ГмбХ і Ко. КГ,Німеччина,"71034, Бьоблінген, Кальверштрасе, 7, Німеччина",Каталент Джермені Шорндорф ГмбХ,Німеччина,"Штайнбайштрассе, 1 і 2, 73614, Шорндорф, Німеччина",UA/3989/01/03,3,рік,"етиленгліколю і поліетиленгліколю пальмітостеарат, лаурилмакроголгліцериди, гліцеролу ізостеарат, олія мінеральна легка, метилпарагідроксибензоат (е 218), кислота сорбінова, вода очищена.,  тверді напівсинтетичні гліцериди (witepsol h19, suppocire nai 50), кремнію діоксид колоїдний безводний",Сертаконазолу нітрат,https://compendium.com.ua/dec/266713/
ЗАЛАЇН ОВУЛІ,Gabapentin," по 3 блістери в коробці",D01A C14,,,Мікро Лабс Лімітед,"27, Рейс Корс Роуд, Бенгалуру, 560001, Карнатака, Індія",1,МІКРО ЛАБС ЛІМІТЕД,,http://www.drlz.com.ua/ibp/lz_www.nsf/id/1D481350078E083FC22586A9003469EA/$file/UA181790101_0634.mht,3 роки.,"етиленгліколю і поліетиленгліколю пальмітостеарат, лаурилмакроголгліцериди, гліцеролу ізостеарат, олія мінеральна легка, метилпарагідроксибензоат (е 218), кислота сорбінова, вода очищена.,  тверді напівсинтетичні гліцериди (witepsol h19, suppocire nai 50), кремнію діоксид колоїдний безводний",Сертаконазолу нітрат,https://compendium.com.ua/dec/266713/
ЗАЛАСТА®,Pregabalin,1 капсула містить 150 мг прегабаліну у перерахунку на суху речовину,N05A H03,"ПАТ ""Київмедпрепарат""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139","ПАТ ""Київмедпрепарат""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139",UA/14764/01/02,3,рік,"целактоза (містить лактози моногідрат), крохмаль прежелатинізований, крохмаль кукурудзяний, кремнію діоксид колоїдний безводний, магнію стеарат",Оланзапін,https://compendium.com.ua/dec/263052/
ЗАЛІЗА ДЕКСТРАН,Gabapentin,за рецептом,B03A B05,,"ТОВ ""АСІНО УКРАЇНА""",Україна,1,"ТОВ ""Фарма Старт""",Україна,,3 роки,3,"поліетиленгліколь (макрогол 6000), аспартам (E 951), есенція шоколадна, тальк, декстрати","Гідроксиду заліза (III) полімальтозний комплекс, Гідроксиду заліза (III) з декстраном",https://compendium.com.ua/dec/260471/
ЗАЛІЗА САХАРАТ,Gabapentin,1 капсула містить 300 мг габапентину,B03A B02,"ПрАТ ""Технолог""",Україна,"Україна, 20300, Черкаська обл., місто Умань, вулиця Стара прорізна, будинок 8","ПрАТ ""Технолог""",Україна,"Україна, 20300, Черкаська обл., місто Умань, вулиця Стара прорізна, будинок 8",UA/11671/01/01,2,рік,"цукор-рафінад, ванілін, спирт етиловий, вода очищена",Сахарат окисного заліза,https://compendium.com.ua/dec/267056/
ЗАЛІЗА САХАРАТ - ЗАЛІЗНЕ ВИНО,Gabapentin,"габапентину не менше 98,0 % і не більше 102,0 % в перерахунку на безводну речовину",B03A B02,Гетеро Драгз Лімітед,Індія,"«Гетеро Корпорейт», 7-2-А2, Індастріал Естейтс, Санат Нагар, Хайдерабад – 500 018, Телангана, Індія",Гетеро Драгз Лімітед,Індія,"Юніт-ІХ, Плот № 1, Гетеро Інфраструктура СЕЗ Лтд, Н. Нарасапурам (Віледж), Наккапаллі (Мандал) Вісакхапатнам-Діст., Андра Прадеш, Індія",UA/15730/01/01,2,рік,"цукор-рафінад, ванілін, спирт етиловий, вода очищена",Сахарат окисного заліза,https://compendium.com.ua/dec/267056/
ЗАЛІЗА ФУМАРАТ,Gabapentin,"габапентину не менше 97,5 % і не більше 102,0 % у перерахунку на безводну речовину",B03A A02,"ПрАТ ""Технолог""",Україна,"Україна, 20300, Черкаська обл., місто Умань, вулиця Стара Прорізна, будинок 8","ЦЗЯНГСІ СИНЕРДЖИ ФАРМАСЬЮТІКАЛ КО., Лтд",Китай,"Цзянгсі Фенгксін Індастріал Парк,Фенгксін Цзянгсі Провінс 330700, Китай",UA/11281/01/01,4,рік,,Заліза фумарат,https://compendium.com.ua/dec/260560/
ЗАЛОКС,Gabapentin,"габапентину не менше 97,5 % і не більше 102,0 % у перерахунку на безводну речовину",N06A B06,"ПрАТ ""Технолог""",Україна,"Україна, 20300, Черкаська обл., місто Умань, вулиця Стара Прорізна, будинок 8","ЦЗЯНГСІ СИНЕРДЖИ ФАРМАСЬЮТІКАЛ КО., Лтд",Китай,"Цзянгсі Фенгксін Індастріал Парк,Фенгксін Цзянгсі Провінс 330700, Китай",UA/11281/01/01,4,рік,"лактоза безводна, крохмаль кукурудзяний, натрію лаурилсульфат, магнію стеарат",Сертралін,https://compendium.com.ua/dec/273389/
ЗАМЕКСЕН,Gabapentin,1 капсула містить габапентину 100 мг,N07X X19**,Алкем Лабораторіз Лтд,Індія,"Алкем хауз, Сенапаті Бапат Марг, Мумбай - 400 013, Індія",Алкем Лабораторіз Лтд,Індія,"167 Махатма Ганді, Удіог Нагар, Дабхел, Даман, 396210, Індія",UA/16443/01/01,2,рік,"натрію метабісульфіт (Е 223), вода для ін’єкцій",Етилметилгідроксипіридину сукцинат,https://compendium.com.ua/dec/266015/
ЗАНІДІП®,Gabapentin,1 капсула містить габапентину 100 мг,C08C A13,Алкем Лабораторіз Лтд,Індія,"Алкем хауз, Сенапаті Бапат Марг, Мумбай - 400 013, Індія",Алкем Лабораторіз Лтд,Індія,"167 Махатма Ганді, Удіог Нагар, Дабхел, Даман, 396210, Індія",UA/16442/01/01,2,рік,,Лерканідипіну гідрохлорид,https://compendium.com.ua/dec/262157/
ЗАРСІО®,Gabapentin,1 капсула містить габапентину 300 мг,L03A A02,Алкем Лабораторіз Лтд,Індія,"Алкем хауз, Сенапаті Бапат Марг, Мумбай - 400 013, Індія",Алкем Лабораторіз Лтд,Індія,"167 Махатма Ганді, Удіог Нагар, Дабхел, Даман, 396210, Індія",UA/16443/01/02,2,рік,"кислота глутамінова, сорбіт (Е 420), полісорбат 80, вода для ін’єкцій",Філграстим,https://compendium.com.ua/dec/263428/
ЗАСПОКІЙЛИВИЙ ЗБІР № 2,Gabapentin,1 капсула містить габапентину 300 мг,N05C M50**,Алкем Лабораторіз Лтд,Індія,"Алкем хауз, Сенапаті Бапат Марг, Мумбай - 400 013, Індія",Алкем Лабораторіз Лтд,Індія,"167 Махатма Ганді, Удіог Нагар, Дабхел, Даман, 396210, Індія",UA/16442/01/02,2,рік,,"Трава кропиви собачої, Шишки хмілю, Листя м'яти перцевої, Кореневища з коренями валеріани, Корінь солодки",https://compendium.com.ua/dec/271025/
ЗАСПОКІЙЛИВИЙ ЗБІР № 2 (СЕДАТИВНИЙ),Gabapentin,1 капсула містить габапентину 400 мг,N05C M50**,Алкем Лабораторіз Лтд,Індія,"Алкем хауз, Сенапаті Бапат Марг, Мумбай - 400 013, Індія",Алкем Лабораторіз Лтд,Індія,"167 Махатма Ганді, Удіог Нагар, Дабхел, Даман, 396210, Індія",UA/16443/01/03,2,рік,,"Трава кропиви собачої, Шишки хмілю, Листя м'яти перцевої, Кореневища з коренями валеріани, Корінь солодки",https://compendium.com.ua/dec/271025/
ЗАФІРОН,Gabapentin,1 капсула містить габапентину 400 мг,R03A C13,Алкем Лабораторіз Лтд,Індія,"Алкем хауз, Сенапаті Бапат Марг, Мумбай - 400 013, Індія",Алкем Лабораторіз Лтд,Індія,"167 Махатма Ганді, Удіог Нагар, Дабхел, Даман, 396210, Індія",UA/16442/01/03,2,рік,"лактози моногідрат напівмікронізований, лактози моногідрат мікронізований",Калію нітрат,https://compendium.com.ua/dec/268348/
ЗАЦЕФ,Gabexate*,за рецептом,J01D D02,,"Товариство з обмеженою відповідальністю ""Новатор Фарма""",Україна,1,Біоіндустрія Італійська Лабораторія лікарських засобів С.П.А.,Італія,,3 роки,3,натрію карбонат,Цефтазидим,https://compendium.com.ua/dec/273619/
ЗВІРОБОЮ ТРАВА,Comb drug,без рецепта,Лікарські засоби для лікування пептичної виразки та гастроезофагеальної рефлюксної хвороби ГЕРХ.,,Реккітт Бенкізер Хелскер (ЮКей) Лімітед,Велика Британія,1,Реккітт Бенкізер Хелскер (ЮКей) Лімітед,Велика Британія,,2 роки,2,,Трава звіробію,https://compendium.com.ua/dec/270610/
ЗЕДАН,Comb drug," по 2 або по 3 блістери у картонній коробці",J01D D02,,,Реккітт Бенкізер Хелскер (ЮКей) Лімітед,"103-105 Бас Роуд, Слау, Беркшир, SL1 3UH, Велика Британія",2,"Реккітт Бенкізер Хелскер (ЮКей) Лімітед (виробництво in bulk, пакування, контроль при випуску, випуск серії)",,http://www.drlz.com.ua/ibp/lz_www.nsf/id/BCD4974466F1C246C225856F006BCB6D/$file/UA92100101_5318.mht,2 роки,натрію карбонат,Цефтазидим,https://compendium.com.ua/dec/338497/
ЗЕЛБОРАФ®,Comb drug,"5 мл суспензії містять 500 мг натрію альгінату, 100 мг калію бікарбонату",L01X E15,Реккітт Бенкізер Хелскер (ЮКей) Лімітед,Велика Британія,"103-105 Бас Роуд, Слау, Беркшир, SL1 3UH, Велика Британія",Реккітт Бенкізер Хелскер (ЮКей) Лімітед,Велика Британія,"Денсом Лейн, Халл, HU8 7DS, Велика Британiя",UA/6865/01/01,2,рік,"кремнію діоксид колоїдний безводний, натрію кроскармелоза, гідроксипропілцелюлоза, магнію стеарат",Вемурафеніб,https://compendium.com.ua/dec/263639/
ЗЕЛДОКС®,Gadobutrol,"1 мл розчину для ін’єкцій містить 604,72 мг гадобутролу (що відповідає 1 ммоль/мл)",N05A E04,Байєр АГ,Німеччина,"Кайзер-Вільгельм-Алее 1, 51373, Леверкузен, Німеччина",Байєр АГ,Німеччина,"Мюллєрштрассе 178, 13353, Берлін, Німеччина",UA/6664/01/01,3,рік,"лактоза, моногідрат",Зипразидону гідрохлорид,https://compendium.com.ua/dec/267299/
ЗЕЛЕНІНА КРАПЛІ,Mono,"гадолінію оксиду від 98,0 % до 102,0 %",C01E X,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63",Родія Операціонс САС,Франція,"ЗІ 26 рю Шеф де Бе 17041 Ла-Рошель Седекс 1, Франція",UA/7627/01/01,5,рік,,"Настоянка беладонни, Настоянка конвалії, Настоянка валеріани, Ментол",https://compendium.com.ua/dec/272467/
ЗЕНО,Comb drug,"1 таблетка містить симетикону 125 мг, дицикловерину гідрохлориду 20 мг",A03ED,"ТОВ ""КУСУМ ФАРМ""",Україна,"40020, Україна, Сумська область, м. Суми, вул. Скрябіна, 54","ТОВ ""КУСУМ ФАРМ""",Україна,"40020, Україна, Сумська область, м. Суми, вул. Скрябіна, 54",UA/10661/01/01,2,рік,"таблетки по 90 мг: целюлоза мікрокристалічна*, кросповідон, повідон, полоксамер, кремнію діоксид колоїдний безводний, магнію стеарат, покриття Opadry II Blue 85F205018**",deferasirox,https://compendium.com.ua/dec/378924/
ЗЕНТЕЛ™,Comb drug,без рецепта,P02C A03,,"ПрАТ ""Національна Гомеопатична Спілка""",Україна,1,"ПрАТ ""Національна Гомеопатична Спілка""",Україна,,3 роки,3,,Альбендазол,https://compendium.com.ua/dec/261297/
ЗЕПТОЛ,Combinations of imidazole derivatives,за рецептом,N03A F01,,КУСУМ ХЕЛТХКЕР ПВТ ЛТД,Індія,1,КУСУМ ХЕЛТХКЕР ПВТ ЛТД,Індія,,2 роки,2,"целюлоза мікрокристалічна, повідон (К-30), кремнію діоксид колоїдний безводний, гіпромелоза, крохмаль кукурудзяний, тальк, магнію стеарат, натрію крохмальгліколят (тип А), натрію лаурилсульфат",Карбамазепін,https://compendium.com.ua/dec/269689/
ЗЕРКАЛІН®,Combinations of imidazole derivatives,за рецептом,D10A F01,,КУСУМ ХЕЛТХКЕР ПВТ ЛТД,Індія,1,КУСУМ ХЕЛТХКЕР ПВТ ЛТД,Індія,,2 роки.,2,"етанол 96%, пропіленгліколь, вода очищена",кліндаміцин,https://compendium.com.ua/dec/338498/
ЗЕРОДОЛ,Combinations of imidazole derivatives,за рецептом,M01A B16,,КУСУМ ХЕЛТХКЕР ПВТ ЛТД,Індія,1,КУСУМ ХЕЛТХКЕР ПВТ ЛТД,Індія,,3 роки.,3,"целюлоза мікрокристалічна, натрію кроскармелоза, натрію крохмалгліколят, кремнію діоксид колоїдний безводний, натрію лаурилсульфат, заліза оксид червоний (е 172), кремофор rh 40, гідроксипропілметилцелюлоза, кросповідон, кислота стеаринова, тальк, титану діоксид (е171), дибутилфталат",Ацеклофенак,https://compendium.com.ua/dec/261703/
ЗЕТРОН,Combinations of imidazole derivatives,1 супозиторій вагінальний містить: тіоконазолу 100 мг та тинідазолу 150 мг,A04A A01,Алвоген Фарма Трейдинг Юроп ОТОВ,Болгарія,"1 поверх, 86, бульвар ""Болгарія"", ж.к. Манастірскі Ліваді - Вест, Вітоша дістрікт, Община Столична, Софія 1680, Болгарія",Екселтіс Ілач Санаї ве Тіджарет Анонім Шіркеті,Туреччина,"Провінція Текірдаг, район Черкезкой, Черкезкой Органайз Санаї Бельгесе, Газіосманпаша Мах., бульвар Фаті, № 19/2, Туреччина",UA/15953/01/01,24,місяць,,Ондансетрон,https://compendium.com.ua/dec/355475/
ЗЕФФІКС™,Xylometazoline,"1 г назального гелю містить 0,5 мг ксилометазоліну гідрохлорид",J05A F05,Варшавський фармацевтичний завод Польфа АТ,Польща,"вул. Каролькова 22/24, 01-207 Варшава, Польща",Медана Фарма Акціонерне Товариство,Польща,"вул. Польської Організації Військової 57, 98-200 Сєрадз, Польща",UA/0401/01/01,3,рік,"целюлоза мікрокристалічна, натрію крохмалгліколят, магнію стеарат, гіпромеллоза, титану діокис, заліза оксид жовтий, заліза оксид червоний (е 172), макрогол, полісорбат, вода очищена",Ламівудин,https://compendium.com.ua/dec/261666/
ЗИБАКС,Xylometazoline,1 г назального гелю містить 1 мг ксилометазоліну гідрохлорид,J01F A10,Варшавський фармацевтичний завод Польфа АТ,Польща,"вул. Каролькова 22/24, 01-207 Варшава, Польща",Медана Фарма Акціонерне Товариство,Польща,"вул. Польської Організації Військової 57, 98-200 Сєрадз, Польща",UA/0401/01/02,3,рік,"целюлоза мікрокристалічна, кросповідон, етилцелюлоза, спирт ізопропіловий, дихлорметан, кремнію діоксид колоїдний безводний, тальк, магнію стеарат, протектаб НР-1 (гідроксипропілметилцелюлоза, пропіленгліколь, олія рицинова, тальк, титану діоксид (Е171)), заліза оксид жовтий (Е172)",Азитроміцин,https://compendium.com.ua/dec/338499/
ЗИВОКС,Xylometazoline,"1 мл розчину містить 0,5 мг гідрохлориду ксилометазоліну",J01X X08,Варшавський фармацевтичний завод Польфа АТ,Польща,"Вул. Каролькова 22/24, 01-207 Варшава, Польща",Варшавський фармацевтичний завод Польфа АТ,Польща,"Вул. Каролькова 22/24, 01-207 Варшава, Польща",UA/0401/02/01,4,рік,"крохмаль кукурудзяний, целюлоза мікрокристалічна, натрію крохмалгліколят, магнію стеарат, вода очищена, opadry white ys-1-18202-a, віск карнауба, лінезолід, лінезолід, гідроксипропілцелюлоза.,  натрію цитрату дигідрат, кислота лимонна безводна, декстрози моногідрат, натрію гідроксид, кислота соляна, вода для ін'єкцій",Лінезолід,https://compendium.com.ua/dec/266811/
ЗИДЕНА,Xylometazoline,1 мл розчину містить 1 мг гідрохлориду ксилометазоліну,G04B E11,Варшавський фармацевтичний завод Польфа АТ,Польща,"Вул. Каролькова 22/24, 01-207 Варшава, Польща",Варшавський фармацевтичний завод Польфа АТ,Польща,"Вул. Каролькова 22/24, 01-207 Варшава, Польща",UA/0401/02/02,4,рік,"лактози моногідрат, крохмаль кукурудзяний, гідроксипропілцелюлоза, кремнію діоксид колоїдний безводний, тальк, магнію стеарат, гіпромелоза, титану діоксид
(Е 171), жовтий захід FCF (E 110)",Уденафіл,https://compendium.com.ua/dec/266054/
